signal_date,ticker,score,ref_price,rank,tp,sl
2026-04-30,3661,3.6,4135.0,7,4980.0,3501.2
2026-05-04,3443,3.98,4685.0,1,5657.0,3956.0
2026-05-04,3037,3.9,911.0,2,1102.1,767.7
2026-05-04,2454,3.9,2870.0,3,3393.0,2477.8
2026-05-04,2383,3.82,4755.0,4,5772.0,3992.2
2026-05-04,6415,3.62,435.0,5,532.3,362.0
2026-05-04,2368,3.6,1440.0,6,1760.0,1200.0
2026-05-04,3661,3.6,4250.0,7,5087.0,3622.2
2026-05-05,2454,3.98,3155.0,1,3722.0,2729.8
2026-05-05,3443,3.95,4835.0,2,5860.0,4066.2
2026-05-05,3037,3.87,903.0,3,1095.4,758.7
2026-05-05,2383,3.8,4730.0,4,5744.0,3969.5
2026-05-05,2368,3.72,1480.0,5,1798.0,1241.5
2026-05-05,2345,3.63,2495.0,6,3015.0,2105.0
2026-05-05,6415,3.63,436.0,7,535.9,361.1
2026-05-06,2454,4.0,3430.0,1,4050.0,2965.0
2026-05-06,3443,3.93,4955.0,2,6053.0,4131.5
2026-05-06,2383,3.87,4950.0,3,5980.0,4177.5
2026-05-06,2303,3.67,91.4,4,111.3,76.4
2026-05-06,3661,3.67,4565.0,5,5471.0,3885.5
2026-05-06,2368,3.65,1445.0,6,1776.0,1196.8
2026-05-06,2345,3.63,2485.0,7,3045.0,2065.0
2026-05-07,3443,4.0,5450.0,1,6607.0,4582.2
2026-05-07,2454,3.93,3420.0,2,4044.0,2952.0
2026-05-07,2383,3.77,4960.0,3,5991.0,4186.8
2026-05-07,2303,3.77,96.5,4,117.2,80.9
2026-05-07,3661,3.75,4795.0,5,5729.0,4094.5
2026-05-07,2345,3.68,2560.0,6,3109.0,2148.2
2026-05-07,3037,3.6,896.0,7,1092.8,748.4
2026-05-08,2454,4.0,3630.0,1,4314.0,3117.0
2026-05-08,3443,3.93,5210.0,2,6391.0,4324.2
2026-05-08,3661,3.83,4890.0,3,5868.0,4156.5
2026-05-08,2303,3.75,91.3,4,113.5,74.7
2026-05-08,2383,3.72,4750.0,5,5803.0,3960.2
2026-05-08,6415,3.63,425.5,6,529.0,347.9
2026-05-08,2345,3.57,2375.0,7,2957.0,1938.5
2026-05-11,2454,4.0,3880.0,1,4641.0,3309.2
2026-05-11,3443,3.93,5730.0,2,7000.0,4777.5
2026-05-11,3661,3.85,5375.0,3,6414.0,4595.8
2026-05-11,6415,3.75,468.0,4,576.8,386.4
2026-05-11,2383,3.67,4850.0,5,5936.0,4035.5
2026-05-11,2303,3.67,95.0,6,117.3,78.3
2026-05-11,2345,3.57,2590.0,7,3186.0,2143.0
2026-05-12,2454,4.0,3700.0,1,4485.0,3111.2
2026-05-12,3443,3.93,5570.0,2,6883.0,4585.2
2026-05-12,6415,3.82,476.5,3,589.1,392.1
2026-05-12,2303,3.82,104.5,4,128.2,86.7
2026-05-12,3661,3.73,5310.0,5,6390.0,4500.0
2026-05-12,2383,3.6,4900.0,6,6017.0,4062.2
2026-05-12,6669,3.58,5790.0,7,6851.0,4994.2
2026-05-13,2454,3.98,3495.0,1,4315.0,2880.0
2026-05-13,3443,3.95,5330.0,2,6692.0,4308.5
2026-05-13,6415,3.83,467.5,3,585.0,379.4
2026-05-13,2303,3.77,98.4,4,123.8,79.3
2026-05-13,3037,3.75,892.0,5,1115.0,724.8
2026-05-13,3661,3.55,4780.0,6,5934.0,3914.5
2026-05-13,6669,3.53,5580.0,7,6667.0,4764.8
2026-05-14,2454,4.0,3405.0,1,4241.0,2778.0
2026-05-14,6415,3.9,503.0,2,627.9,409.3
2026-05-14,2303,3.87,108.0,3,134.6,88.0
2026-05-14,3443,3.83,5075.0,4,6494.0,4010.8
2026-05-14,2408,3.67,341.0,5,416.8,284.1
2026-05-14,3661,3.6,4830.0,6,6016.0,3940.5
2026-05-14,2327,3.53,462.0,7,556.6,391.1
2026-05-15,2454,3.98,3260.0,1,4139.0,2600.8
2026-05-15,2303,3.95,110.0,2,137.4,89.5
2026-05-15,6415,3.83,468.0,3,596.5,371.6
2026-05-15,3443,3.77,4845.0,4,6291.0,3760.5
2026-05-15,2327,3.65,455.5,5,553.7,381.9
2026-05-15,2408,3.6,311.5,6,392.2,251.0
2026-05-15,2344,3.48,129.5,7,158.3,107.9
2026-05-18,2454,3.98,3400.0,1,4345.0,2691.2
2026-05-18,2327,3.95,501.0,2,604.2,423.6
2026-05-18,6415,3.85,514.0,3,645.7,415.2
2026-05-18,2303,3.82,111.0,4,139.0,90.0
2026-05-18,3481,3.72,38.7,5,47.2,32.3
2026-05-18,3443,3.63,4740.0,6,6217.0,3632.2
2026-05-18,2344,3.52,130.5,7,161.5,107.2
2026-05-19,2454,3.97,3155.0,1,4165.0,2397.5
2026-05-19,2327,3.95,497.0,2,603.5,417.1
2026-05-19,2303,3.88,113.0,3,141.5,91.6
2026-05-19,3481,3.75,37.5,4,46.2,30.9
2026-05-19,6415,3.65,482.0,5,620.3,378.3
2026-05-19,2395,3.48,461.5,6,545.7,398.4
2026-05-19,3443,3.47,4465.0,7,5951.0,3350.5
2026-05-20,2327,4.0,520.0,1,633.7,434.7
2026-05-20,2454,3.9,3230.0,2,4241.0,2471.8
