event_id,signal_date,source_sector,destination_sector,ticker,reference_peak,drawdown_date,lead_trading_days,hit_20pct,last_session_before_drawdown,source_sector_label,destination_sector_label
25,2017-11-21,computing,finance,4976,48.14002227783203,2017-12-04,9.0,True,2017-12-01,資訊/通訊,金融
25,2017-11-21,computing,finance,3711,52.698036193847656,,,False,,資訊/通訊,金融
25,2017-11-21,computing,finance,6510,1048.1873779296875,2018-03-15,74.0,True,2018-03-14,資訊/通訊,金融
25,2017-11-21,computing,finance,4958,53.48603820800781,2018-02-06,54.0,True,2018-02-05,資訊/通訊,金融
25,2017-11-21,computing,finance,6147,35.35436248779297,,,False,,資訊/通訊,金融
25,2017-11-21,computing,finance,4919,59.11037063598633,2017-12-05,10.0,True,2017-12-04,資訊/通訊,金融
25,2017-11-21,computing,finance,3707,27.568553924560547,2017-12-05,10.0,True,2017-12-04,資訊/通訊,金融
25,2017-11-21,computing,finance,6451,121.68849182128906,2017-12-05,10.0,True,2017-12-04,資訊/通訊,金融
25,2017-11-21,computing,finance,6435,86.96646118164062,2017-12-01,8.0,True,2017-11-30,資訊/通訊,金融
25,2017-11-21,computing,finance,6120,30.169775009155273,2018-03-22,79.0,True,2018-03-21,資訊/通訊,金融
25,2017-11-21,computing,finance,4952,40.748626708984375,2017-12-07,12.0,True,2017-12-06,資訊/通訊,金融
25,2017-11-21,computing,finance,6414,304.2037353515625,,,False,,資訊/通訊,金融
25,2017-11-21,computing,finance,6176,42.918453216552734,2018-04-30,103.0,True,2018-04-27,資訊/通訊,金融
25,2017-11-21,computing,finance,4968,74.72888946533203,2017-12-06,11.0,True,2017-12-05,資訊/通訊,金融
25,2017-11-21,computing,finance,4960,14.63145637512207,2017-12-06,11.0,True,2017-12-05,資訊/通訊,金融
25,2017-11-21,computing,finance,6505,82.39832305908203,,,False,,資訊/通訊,金融
25,2017-11-21,computing,finance,4977,82.64582061767578,2018-02-02,52.0,True,2018-02-01,資訊/通訊,金融
25,2017-11-21,computing,finance,6121,109.36280822753906,,,False,,資訊/通訊,金融
25,2017-11-21,computing,finance,4904,50.57637023925781,,,False,,資訊/通訊,金融
