event_id,signal_date,source_sector,destination_sector,confirmation_days,source_score,destination_score,score_spread,source_score_change_5d,destination_score_change_5d,source_return_5d,destination_return_5d,source_return_20d,destination_return_20d,source_turnover_acceleration,destination_turnover_acceleration,source_breadth_above_20d,destination_breadth_above_20d,source_institutional_flow,destination_institutional_flow,average_correlation_20d,source_sector_label,destination_sector_label
102,2021-12-27,shipping,electronics,3,0.3457142857142857,0.8642857142857142,0.5185714285714285,-0.39000000000000007,0.11142857142857143,0.0038477358214471513,0.02727495220014775,0.05832531678240083,0.04793595970016862,-0.5319386783500224,-0.18257617476989718,0.45,0.7243589743589743,0.0053086665115861815,0.026539541811141158,0.43098743186066013,航運,電子零組件
103,2022-01-10,electronics,finance,3,0.32142857142857145,1.0,0.6785714285714286,-0.3585714285714285,0.2014285714285715,-0.03361756474288263,0.017543688115234213,-0.005499409000849276,0.025078294060637996,-0.10546744533522562,0.18859518571121825,0.34615384615384615,0.96,-0.020846856447177077,0.10541466861974955,0.6979628151111924,電子零組件,金融
104,2022-02-08,computing,finance,3,0.2614285714285714,0.8957142857142857,0.6342857142857143,-0.22714285714285715,0.10999999999999999,0.01643194875691245,0.03274962002082216,-0.06681040953994222,0.07031386515039328,-0.2925198452098515,-0.04102006514197992,0.33519553072625696,0.8846153846153846,0.02787779992963535,0.03197553573695186,0.8487166056715788,資訊/通訊,金融
105,2022-02-16,traditional,shipping,3,0.39,0.9357142857142857,0.5457142857142857,-0.20999999999999996,0.03428571428571425,-0.009417919718813172,0.004151540922735619,-0.023368109269709947,-0.015727318883979213,-0.19318523075365207,-0.09000610305917223,0.5467032967032966,0.8,-0.009767925260765486,0.044759182840860334,0.9022442871685826,傳產/其他,航運
106,2022-02-23,finance,shipping,3,0.38999999999999996,0.9500000000000001,0.56,-0.09857142857142859,0.014285714285714346,-0.009825293601423146,0.031976745219020275,0.0009259644350472218,0.07142859014493097,-0.17685347099266596,0.7781792386265578,0.4230769230769231,0.8571428571428571,,,0.8973552708636904,金融,航運
107,2022-03-22,shipping,finance,3,0.26857142857142857,0.8714285714285714,0.6028571428571429,-0.6671428571428571,0.04428571428571437,-0.0038460154819798253,0.04488510492060882,-0.020560841204304903,0.02067354928796261,-0.4307176246655552,0.18435719286648133,0.2857142857142857,1.0,0.0014498936491620798,0.16637444937647183,0.815217671171312,航運,金融
108,2022-04-07,semiconductor,finance,3,0.29428571428571426,1.0,0.7057142857142857,-0.28714285714285714,0.04714285714285704,-0.03602815205928822,0.03737818710260754,0.0117341786093762,0.13791915382323905,-0.1101687430562675,0.3236801829222673,0.19811320754716982,0.9615384615384616,-0.06472987944683177,0.023170165616207564,0.8675065725700647,半導體,金融
109,2022-05-06,biotech,shipping,3,0.39285714285714285,0.9714285714285714,0.5785714285714285,-0.24714285714285716,0.25714285714285723,-0.003580375246923728,0.0571288570398133,-0.03239464977914519,0.06608710411674446,-0.4921824951937293,-0.06781400362801854,0.15217391304347827,0.7272727272727273,-0.010935104703757734,-0.00016739113149829085,0.7196678467343841,生技醫療,航運
110,2022-05-06,finance,shipping,3,0.2414285714285714,0.9714285714285714,0.73,-0.38142857142857134,0.25714285714285723,-0.027659576161956134,0.0571288570398133,-0.07491855997012986,0.06608710411674446,-0.28674079767036187,-0.06781400362801854,0.0,0.7272727272727273,-0.08732075947934448,-0.00016739113149829085,0.4876019295669773,金融,航運
111,2022-05-18,shipping,semiconductor,3,0.21,0.9671428571428572,0.7571428571428572,-0.3471428571428572,0.06000000000000005,-0.032778393693935204,0.033397077647031814,-0.056550892618254855,-0.030722123177306992,-0.3984608612003042,-0.044172622986895504,0.045454545454545456,0.6122448979591837,0.017144702179043028,0.05848510095984962,0.7646066893525139,航運,半導體
112,2022-06-10,finance,electronics,3,0.20714285714285713,0.9214285714285715,0.7142857142857144,-0.23142857142857143,0.24,-0.006896520060081013,0.002364115065326411,0.03153153814223231,0.08346705903951346,-0.4321136370462997,-0.12972839700977545,0.5555555555555556,0.7669172932330827,-0.13166170256042448,0.00023677869880758324,0.5359760308486946,金融,電子零組件
113,2022-06-17,shipping,biotech,3,0.15714285714285714,0.86,0.7028571428571428,-0.06428571428571431,0.1814285714285715,-0.10009628121319514,-0.03694597091760288,-0.061431000737527164,-0.0008101788592980719,-0.08615377265794327,0.07724862166815727,0.09090909090909091,0.35714285714285715,-0.06985490914513806,0.008397082011202452,0.6224177024107849,航運,生技醫療
114,2022-08-15,traditional,finance,3,0.3514285714285714,0.8414285714285714,0.49,-0.18285714285714283,0.1171428571428571,0.03628110574971566,0.03964756882438114,0.05337073552779015,0.09448802701009629,0.010560479922343324,0.030715946644762404,0.78239608801956,1.0,,,0.8286708196559628,傳產/其他,金融
115,2022-08-19,shipping,biotech,3,0.2114285714285714,0.8557142857142858,0.6442857142857144,-0.14714285714285713,0.3885714285714286,-0.0024630384184983756,0.03658547295331194,-0.004179724464846157,0.06324104513656259,-0.11515494559538975,0.22849639131964006,0.7619047619047619,1.0,,,0.6940379599725336,航運,生技醫療
116,2022-08-25,finance,biotech,3,0.2928571428571428,0.9428571428571428,0.65,-0.18142857142857144,0.024285714285714244,-0.009120443191010519,0.026983552251972798,0.05022150326851105,0.08812924686181134,-0.257704756024812,0.6927065575182746,0.7692307692307693,0.9736842105263158,-0.05370046485045148,-0.0038139012395199106,0.6018819045674142,金融,生技醫療
117,2022-10-11,biotech,semiconductor,3,0.20714285714285713,0.8014285714285714,0.5942857142857143,-0.34714285714285714,0.22571428571428576,-0.025462402630838488,-0.015821662209030085,-0.13525571409247095,-0.11568541823467693,-0.306931730816359,-0.13781689248788231,0.06818181818181818,0.1,-0.04338777332547696,-0.008028704701145596,0.9036888943558471,生技醫療,半導體
118,2022-10-18,shipping,semiconductor,3,0.29285714285714287,0.9857142857142858,0.6928571428571428,-0.4042857142857142,0.18428571428571439,-0.050338429769651694,0.004219459408095427,-0.12067691201687375,-0.09195439860030613,-0.12856054333988265,-0.0019242753429790094,0.0,0.2755102040816326,0.0438883250656611,0.037849263055347374,0.868518207096955,航運,半導體
119,2022-11-15,traditional,semiconductor,3,0.38,0.9014285714285715,0.5214285714285715,-0.14,0.26428571428571435,0.027118699870298357,0.042342310642953684,0.06113535553936944,0.07594272038717786,0.28378484553037375,0.3417617162251664,0.8905109489051095,0.9795918367346939,0.019084260319035463,0.06461427655871857,0.8196560480705349,傳產/其他,半導體
